Survived,Pclass(1),Pclass(2),Pclass(3),Name('Mr'),Name('Mrs'),Name('Miss'),Name('Master'),Name('Other'),Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,-0.1764553357524417,0.3010299956639812,0.0,0.04600427124062826
1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.201421514396061,0.3010299956639812,0.0,0.47500386940966266
1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,-0.08198612321531602,0.0,0.0,0.050526523393244135
1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.13056960499321676,0.3010299956639812,0.0,0.3531824359775734
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.13056960499321676,0.0,0.0,0.051363977495580415
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,-0.058368820081034604,0.0,0.0,0.05409943757545161
0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.5792983645445637,0.0,0.0,0.34489164036444425
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,-0.64880139843807,0.6020599913279624,0.3010299956639812,0.1386266949590201
1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,-0.058368820081034604,0.0,0.47712125471966244,0.07202095536544786
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,-0.36539376082669306,0.3010299956639812,0.0,0.19889525186939327
1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,-0.6015667921695073,0.3010299956639812,0.3010299956639812,0.10931580137725053
1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.6737675770816894,0.0,0.0,0.1753071846413489
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,-0.22368994202100453,0.0,0.0,0.051363977495580415
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.22503881753034244,0.3010299956639812,0.7781512503836436,0.20696294970966
0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,-0.36539376082669306,0.0,0.0,0.05005218938968087
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.6029156676788451,0.0,0.0,0.1046260584041674
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,-0.64880139843807,0.6989700043360189,0.3010299956639812,0.1925587391494761
1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,-0.15283803261816029,0.0,0.0,0.08452715994809684
0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0.03610039245609108,0.3010299956639812,0.0,0.11802532404154777
1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,-0.1764553357524417,0.0,0.0,0.045836780420161004
0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.13056960499321676,0.0,0.0,0.17162238659106926
1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.10695230185893533,0.0,0.0,0.08452715994809684
1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,-0.3417764576924116,0.0,0.0,0.05122462513295165
1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,-0.034751516946753186,0.0,0.0,0.23526889836862608
0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,-0.5070975796323816,0.6020599913279624,0.3010299956639812,0.1386266949590201
1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0.201421514396061,0.3010299956639812,0.7781512503836436,0.20771665840176265
